Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,20000000,460,427,1355,1797,2751,1,12300,0.000%,2135.11863,22.94,0.00
TOTAL,20000000,460,427,1355,1797,2751,1,12300,0.000%,2135.11863,22.94,0.00
