op,count,p25_low,p25_high,p50_low,p50_high,p75_low,p75_high,p95_low,p95_high,p99_low,p99_high,max,mean
LOAD_NODE_BULK,977,25,26,71,72,100,200,200,300,500,600,1619.35,97.74
LOAD_LINKS_BULK,5132,22,23,74,75,100,200,300,400,500,600,1855.15,116.59
LOAD_COUNTS_BULK,759,100,200,200,300,300,400,600,700,1000,2000,1853.16,296.12
