Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,15000,1,1,1,3,5,0,580,0.000%,49.87200,6.33,0.00
TOTAL,15000,1,1,1,3,5,0,580,0.000%,49.87200,6.33,0.00
