Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Register,50000,2767,1869,4788,8685,16427,79,27291,0.000%,2.77073,19.05,0.98
Account_registration,50000,4210,2800,8903,12833,19367,542,31999,2.202%,2.77063,3.07,2.38
Dashboard,50000,2928,2018,4908,8665,17199,67,32341,0.000%,2.77071,14.71,2.63
Logout,50000,5501,3543,11581,16164,21566,35,33691,0.000%,2.77076,11.69,4.29
Home,50000,2598,1716,4589,8312,16194,10,27252,0.000%,2.77094,9.60,1.70
TOTAL,250000,3601,2425,7530,11590,18998,10,33691,0.440%,13.85297,58.12,11.97
