Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,500,4,2,6,7,12,1,382,0.000%,9.96731,0.11,0.00
TOTAL,500,4,2,6,7,12,1,382,0.000%,9.96731,0.11,0.00
