threadID,timestamp,op,totalops,totalerrors,ops,sampleDuration_us,sampleOps,mean_us,min_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,max_us
2,1496743591,LOAD_LINKS_BULK,4308,0,4308,201362,4308,26971.100278551534,8898,16342,21242,30539,46856,57980,100748,241555
7,1496743591,LOAD_LINKS_BULK,4397,0,4397,201234,4397,26466.076415738004,8946,16213,20874,30080,45941,58064,96677,247269
3,1496743591,LOAD_LINKS_BULK,4299,0,4299,201773,4299,27036.205629216096,9048,16230,21079,30983,47392,60247,97777,231029
3,1496743591,LOAD_COUNTS_BULK,740,0,740,201773,740,110221.31756756757,16100,47789,80192,143374,250519,284798,362257,387351
3,1496743591,LOAD_LINKS_BULK_NLINKS,4299,0,4299,201773,4299,1023.9278902070249,714,1024,1024,1024,1024,1024,1024,1024
3,1496743591,LOAD_COUNTS_BULK_NLINKS,740,0,740,201773,740,1023.5351351351351,680,1024,1024,1024,1024,1024,1024,1024
7,1496743591,LOAD_COUNTS_BULK,749,0,749,201234,749,107790.79706275034,16513,46074,76757,142050,245744,281711,344434,503430
4,1496743591,LOAD_LINKS_BULK,4187,0,4187,201244,4187,27403.201098638645,9233,16303,21599,31672,47948,59338,97858,300127
4,1496743591,LOAD_COUNTS_BULK,769,0,769,201244,769,107376.85825747724,16465,45538,75178,139764,245716,291137,341496,444515
7,1496743591,LOAD_LINKS_BULK_NLINKS,4397,0,4397,201234,4397,1023.9470093245395,791,1024,1024,1024,1024,1024,1024,1024
7,1496743591,LOAD_COUNTS_BULK_NLINKS,749,0,749,201234,749,1023.0093457943925,282,1024,1024,1024,1024,1024,1024,1024
4,1496743591,LOAD_LINKS_BULK_NLINKS,4187,0,4187,201244,4187,1023.8810604251254,526,1024,1024,1024,1024,1024,1024,1024
4,1496743591,LOAD_COUNTS_BULK_NLINKS,769,0,769,201244,769,1023.7815344603381,856,1024,1024,1024,1024,1024,1024,1024
2,1496743591,LOAD_COUNTS_BULK,753,0,753,201362,753,107657.49667994688,14750,48441,77395,142532,242018,283275,347137,384809
2,1496743591,LOAD_LINKS_BULK_NLINKS,4308,0,4308,201362,4308,1023.9911792014856,986,1024,1024,1024,1024,1024,1024,1024
2,1496743591,LOAD_COUNTS_BULK_NLINKS,753,0,753,201362,753,1023.8645418326694,922,1024,1024,1024,1024,1024,1024,1024
