Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,3000,3,2,6,10,15,1,568,0.000%,9.97397,0.73,0.00
TOTAL,3000,3,2,6,10,15,1,568,0.000%,9.97397,0.73,0.00
