Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,500,5,2,5,7,18,1,459,0.000%,9.96810,0.11,0.00
TOTAL,500,5,2,5,7,18,1,459,0.000%,9.96810,0.11,0.00
