threadID,timestamp,op,totalops,totalerrors,ops,sampleDuration_us,sampleOps,mean_us,min_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,max_us
99,1496746004,MULTIGET_LINK,135,0,135,1800159,135,35978.86666666667,218,544,1335,9010,135390,239315,409184,463025
99,1496746004,GET_LINKS_LIST,11830,0,11830,1800159,10000,45913.046,0,524,2076,12607,133473,250850,740836,2280458
99,1496746004,COUNT_LINK,1140,0,1140,1800159,1140,49891.54298245614,113,436,3380,16000,138520,261210,679769,1526506
99,1496746004,UPDATE_LINK,1849,0,1849,1800159,1849,137273.35316387235,1327,13360,28539,145986,394069,666685,1208213,1612537
99,1496746004,ADD_LINK,2092,0,2092,1800159,2092,139407.8618546845,1704,13887,28025,147931,391328,688010,1255763,1688108
99,1496746004,RANGE_SIZE,11830,0,11830,1800159,10000,23.7032,0,0,1,2,4,10,40,10000
99,1496746004,ADD_NODE,611,0,611,1800159,611,58776.864157119475,865,5816,11993,29725,198087,287543,604069,862059
99,1496746004,UPDATE_NODE,1715,0,1715,1800159,1715,114652.40641399416,399,11541,23210,140955,298103,518541,994794,1462521
99,1496746004,DELETE_NODE,218,0,218,1800159,218,105847.83944954128,2332,12601,26334,134820,275202,595648,987057,1312313
99,1496746004,GET_NODE,2975,0,2975,1800159,2975,100169.44638655463,158,1454,11869,131115,279707,446980,980816,1521430
68,1496746004,MULTIGET_LINK,133,0,133,1800014,133,48423.71428571428,257,441,1813,26050,134192,245626,465009,869138
68,1496746004,GET_LINKS_LIST,11883,0,11883,1800014,10000,45101.5652,0,518,2051,12029,131099,249477,744513,3532067
68,1496746004,COUNT_LINK,1178,0,1178,1800014,1178,43854.718166383704,137,432,2761,16385,138279,249356,543675,1246545
68,1496746004,UPDATE_LINK,1924,0,1924,1800014,1924,133392.73804573805,1440,12854,26974,149175,363149,632671,1149076,1742471
68,1496746004,ADD_LINK,2060,0,2060,1800014,2060,142122.50291262136,2005,13613,29915,147411,382534,650817,1333424,1896089
68,1496746004,RANGE_SIZE,11883,0,11883,1800014,10000,8.4489,0,0,1,2,4,10,39,10000
68,1496746004,ADD_NODE,601,0,601,1800014,601,59500.527454242925,836,5013,11523,28488,153069,282506,761319,942454
68,1496746004,UPDATE_NODE,1750,0,1750,1800014,1750,108535.10742857143,531,11740,23150,140879,289916,470332,870273,1444953
68,1496746004,DELETE_NODE,238,0,238,1800014,238,118453.91596638656,1608,12115,26058,143868,326204,483017,1247364,1442415
68,1496746004,GET_NODE,3063,0,3063,1800014,3063,105276.96506692785,169,1758,12402,134094,283947,518056,992237,1850598
78,1496746004,MULTIGET_LINK,105,0,105,1800008,105,74075.06666666667,238,864,5156,17380,139216,358801,1125865,1139585
78,1496746004,GET_LINKS_LIST,11764,0,11764,1800008,10000,48331.7448,0,513,1941,11511,133438,253594,886287,7460508
78,1496746004,COUNT_LINK,1160,0,1160,1800008,1160,50692.637068965516,109,449,3065,15963,137116,263850,775033,1550779
78,1496746004,UPDATE_LINK,1924,0,1924,1800008,1924,123413.44698544698,1191,13192,26818,142367,325819,531061,1212108,1664415
78,1496746004,ADD_LINK,2158,0,2158,1800008,2158,130843.86839666357,1177,13585,28134,144019,354855,644738,1205183,1660400
31,1496746004,MULTIGET_LINK,120,0,120,1800055,120,48994.74166666667,190,476,2168,10044,135292,203218,920494,1185279
78,1496746004,RANGE_SIZE,11764,0,11764,1800008,10000,11.6412,0,0,1,2,4,11,39,10000
78,1496746004,ADD_NODE,579,0,579,1800008,579,57862.73056994819,827,5197,12404,29265,161947,296518,716619,987786
78,1496746004,UPDATE_NODE,1714,0,1714,1800008,1714,120425.34830805134,1027,11277,24151,143829,318126,538567,1066150,1521692
78,1496746004,DELETE_NODE,245,0,245,1800008,245,97468.2081632653,2108,11176,23632,136079,272737,385620,854166,1176207
31,1496746004,GET_LINKS_LIST,11556,0,11556,1800055,10000,47416.0469,0,520,2184,12305,133165,255431,762643,5474161
78,1496746004,GET_NODE,3024,0,3024,1800008,3024,99569.28802910053,140,1523,11749,131674,274914,472298,906008,1486025
31,1496746004,COUNT_LINK,1129,0,1129,1800055,1129,51969.49069973428,136,402,3103,18532,141169,262875,742233,1310810
31,1496746004,UPDATE_LINK,1869,0,1869,1800055,1869,135852.97057249866,1127,13801,29003,145544,347793,647549,1244295,1664939
31,1496746004,ADD_LINK,2068,0,2068,1800055,2068,139158.3916827853,1030,14708,30193,154953,381320,623592,1158539,1686146
31,1496746004,RANGE_SIZE,11556,0,11556,1800055,10000,21.4544,0,0,1,2,4,11,39,10000
0,1496746004,MULTIGET_LINK,115,0,115,1800011,115,26564.0,257,482,2601,13464,117878,145579,250452,271941
79,1496746004,MULTIGET_LINK,113,0,113,1800031,113,58224.12389380531,220,639,1791,23249,135188,351350,708907,1121681
37,1496746004,MULTIGET_LINK,110,0,110,1800159,110,46940.9,231,582,3724,20004,131137,252037,408005,1046070
61,1496746004,MULTIGET_LINK,120,0,120,1800030,120,50112.708333333336,190,523,1922,9158,127967,169642,1144907,1161883
31,1496746004,ADD_NODE,563,0,563,1800055,563,58139.30373001776,817,5880,11497,28341,153954,303989,612578,1244388
31,1496746004,UPDATE_NODE,1765,0,1765,1800055,1765,111800.64872521246,270,11065,23444,139513,303436,462654,1044308,1416634
31,1496746004,DELETE_NODE,208,0,208,1800055,208,138923.86057692306,2187,12556,24653,156778,396506,660743,1011554,1373108
79,1496746004,GET_LINKS_LIST,11779,0,11779,1800031,10000,49467.7778,0,506,1934,12634,135288,258403,847186,3725018
61,1496746004,GET_LINKS_LIST,11658,0,11658,1800030,10000,47086.0214,0,507,1991,12499,133805,252337,752757,3636685
