threadID,timestamp,op,totalops,totalerrors,ops,sampleDuration_us,sampleOps,mean_us,min_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,max_us
30,1496816019,MULTIGET_LINK,191,0,191,1800033,191,46256.22513089005,201,488,2270,16048,137570,252390,544591,1024304
56,1496816019,MULTIGET_LINK,192,0,192,1800017,192,43050.421875,206,515,2666,27785,135273,239119,553513,580865
30,1496816019,GET_LINKS_LIST,17008,0,17008,1800033,10000,29941.1574,0,518,1389,6893,123562,150145,349408,1335276
30,1496816019,COUNT_LINK,1632,0,1632,1800033,1632,23225.04350490196,110,256,643,3677,116417,139058,280436,806978
30,1496816019,UPDATE_LINK,2722,0,2722,1800033,2722,76021.83321087436,1195,7086,14889,123774,240609,307872,524806,1430391
30,1496816019,ADD_LINK,3108,0,3108,1800033,3108,72444.4749034749,1150,6684,14086,123584,235472,289706,550408,963284
56,1496816019,GET_LINKS_LIST,17234,0,17234,1800017,10000,28592.5853,0,495,1291,6354,122232,147166,346268,1137145
56,1496816019,COUNT_LINK,1634,0,1634,1800017,1634,21711.977968176256,118,259,704,3552,111329,132586,270114,1038244
30,1496816019,RANGE_SIZE,17008,0,17008,1800033,10000,40.4297,0,1,1,19,37,43,158,10000
56,1496816019,UPDATE_LINK,2732,0,2732,1800017,2732,71557.90959004393,1116,7104,14851,121998,206057,279353,595891,1152943
30,1496816019,ADD_NODE,843,0,843,1800033,843,82976.47330960854,1071,6726,20313,130211,249606,344395,544998,883502
30,1496816019,UPDATE_NODE,2476,0,2476,1800033,2476,98087.62399030695,148,5756,20372,141221,273354,390365,614009,1261438
56,1496816019,ADD_LINK,3046,0,3046,1800017,3046,71577.36375574525,1232,6784,14046,122268,230053,282646,552769,1074671
30,1496816019,DELETE_NODE,352,0,352,1800033,352,102622.24431818182,150,6677,24443,146591,270746,410960,660278,754914
56,1496816019,RANGE_SIZE,17234,0,17234,1800017,10000,61.5816,0,1,1,19,35,41,159,10000
56,1496816019,ADD_NODE,867,0,867,1800017,867,85038.26412918109,1071,6936,19335,131586,255201,364242,562086,900228
30,1496816019,GET_NODE,4406,0,4406,1800033,4406,85866.57126645483,112,733,13631,131847,257273,366128,578372,1059298
56,1496816019,UPDATE_NODE,2430,0,2430,1800017,2430,103483.58148148148,163,5802,24980,146899,277395,395117,606930,1357691
56,1496816019,DELETE_NODE,357,0,357,1800017,357,104780.22969187675,163,5580,21506,143402,275598,409187,761723,1139201
56,1496816019,GET_NODE,4366,0,4366,1800017,4366,86632.81218506642,112,631,12895,133704,261679,364485,589805,982884
78,1496816019,MULTIGET_LINK,173,0,173,1800042,173,39635.93641618497,234,504,2359,22257,145829,233010,366091,425241
82,1496816019,MULTIGET_LINK,182,0,182,1800045,182,46556.17582417582,217,522,3114,28088,145614,261110,369767,562000
