op,count,p25_low,p25_high,p50_low,p50_high,p75_low,p75_high,p95_low,p95_high,p99_low,p99_high,max,mean
ADD_NODE,1286817,6,7,19,20,100,200,400,500,900,1000,1960.15,99.58
UPDATE_NODE,3682242,8,9,25,26,100,200,500,600,1000,2000,2565,124.45
DELETE_NODE,505495,7,8,23,24,100,200,500,600,900,1000,1982.59,114.34
GET_NODE,6467460,1,2,17,18,100,200,500,600,900,1000,2407.06,109
ADD_LINK,4494841,5,6,11,12,34,35,200,300,700,800,2118.4,57.6
DELETE_LINK,1495849,5,6,11,12,37,38,200,300,700,800,2202.93,58.27
UPDATE_LINK,4007014,5,6,11,12,36,37,200,300,700,800,2398.2,58.95
COUNT_LINK,2444338,0.2,0.3,0.6,0.7,3,4,100,200,200,300,1881.94,19.83
MULTIGET_LINK,262474,0.4,0.5,1,2,5,6,100,200,400,500,1855.62,27.61
GET_LINKS_LIST,25353470,0.4,0.5,0.9,1,3,4,100,200,200,300,4829.18,18.11
