threadID,timestamp,op,totalops,totalerrors,ops,sampleDuration_us,sampleOps,mean_us,min_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,max_us
34,1496813862,MULTIGET_LINK,210,0,210,1800075,210,10226.5,199,310,472,1396,8211,103344,135300,187367
86,1496813862,MULTIGET_LINK,234,0,234,1800041,234,9825.175213675213,207,335,562,1758,6748,89331,145717,497192
79,1496813862,MULTIGET_LINK,212,0,212,1800003,212,13806.311320754718,201,310,452,1517,30142,108598,171014,421534
34,1496813862,GET_LINKS_LIST,21715,0,21715,1800075,10000,9615.4887,0,343,545,1383,5852,79570,152616,1034546
86,1496813862,GET_LINKS_LIST,21397,0,21397,1800041,10000,9822.3173,0,344,532,1343,5243,80420,152027,1930690
34,1496813862,COUNT_LINK,2105,0,2105,1800075,2105,15554.4351543943,121,248,473,1959,65932,114149,226243,841439
86,1496813862,COUNT_LINK,2088,0,2088,1800041,2088,18957.38409961686,110,230,442,2078,80843,123186,284312,1410399
34,1496813862,UPDATE_LINK,3448,0,3448,1800075,3448,53147.33120649652,1037,6227,11610,32522,137139,205921,624308,1896337
79,1496813862,GET_LINKS_LIST,21749,0,21749,1800003,10000,10042.7964,0,344,534,1384,5770,81093,162542,2151298
86,1496813862,UPDATE_LINK,3292,0,3292,1800041,3292,50201.72083839611,965,5783,11122,27257,136746,206642,530579,1429122
79,1496813862,COUNT_LINK,2107,0,2107,1800003,2107,14970.844803037495,113,238,443,1700,40218,110028,213390,1080616
34,1496813862,ADD_LINK,3745,0,3745,1800075,3745,47217.776234979974,1126,6029,10893,24993,131283,176894,487703,1465745
86,1496813862,ADD_LINK,3793,0,3793,1800041,3793,52642.9530714474,1268,6190,11691,32709,137724,215385,552181,1520932
79,1496813862,UPDATE_LINK,3407,0,3407,1800003,3407,51563.63927208688,980,6231,11395,27435,139541,207658,580521,1546889
34,1496813862,RANGE_SIZE,21715,0,21715,1800075,10000,36.8784,0,1,1,6,19,33,99,10000
34,1496813862,ADD_NODE,1098,0,1098,1800075,1098,95112.5081967213,1167,7072,16226,111931,250707,465206,1070052,1600388
86,1496813862,RANGE_SIZE,21397,0,21397,1800041,10000,35.4176,0,1,1,6,19,29,95,10000
86,1496813862,ADD_NODE,1083,0,1083,1800041,1083,99766.16805170821,779,6914,17169,115547,264004,441071,1140710,1560028
79,1496813862,ADD_LINK,3844,0,3844,1800003,3844,51010.6058792924,1116,6127,11287,28677,134877,200051,571537,1391918
34,1496813862,UPDATE_NODE,3149,0,3149,1800075,3149,127530.50936805335,182,9362,23231,139525,304278,635594,1275019,1944580
34,1496813862,DELETE_NODE,426,0,426,1800075,426,116785.57981220658,222,8714,19414,123001,282259,515747,1256195,1367801
79,1496813862,RANGE_SIZE,21749,0,21749,1800003,10000,13.3203,0,1,1,6,20,32,78,10000
86,1496813862,UPDATE_NODE,3155,0,3155,1800041,3155,120328.30744849445,189,9959,25072,135378,294753,527084,1207855,1757295
79,1496813862,ADD_NODE,1110,0,1110,1800003,1110,102828.02702702703,1046,6965,17499,117646,276058,518983,1075938,1504053
86,1496813862,DELETE_NODE,454,0,454,1800041,454,116706.85462555067,326,8963,23077,128049,304147,506097,1164247,1824639
79,1496813862,UPDATE_NODE,3230,0,3230,1800003,3230,120448.59318885449,168,8978,22502,133102,298015,563693,1140702,1590727
79,1496813862,DELETE_NODE,446,0,446,1800003,446,100226.067264574,202,8190,18050,114129,255568,429742,1280974,1451024
34,1496813862,GET_NODE,5497,0,5497,1800075,5497,102194.50045479352,121,874,11500,119435,273210,486387,1071646,1612924
86,1496813862,GET_NODE,5359,0,5359,1800041,5359,102220.00783728308,125,760,10441,117194,279020,499963,1075186,1614117
79,1496813862,GET_NODE,5580,0,5580,1800003,5580,101347.54390681004,107,749,11001,116870,276610,500045,1115550,1707488
38,1496813862,MULTIGET_LINK,242,0,242,1800147,242,11298.933884297521,188,322,482,1763,13116,102379,160191,379519
7,1496813862,MULTIGET_LINK,231,0,231,1800204,231,12624.004329004329,200,347,613,2371,10814,93618,244847,490520
68,1496813862,MULTIGET_LINK,215,0,215,1800016,215,12088.879069767441,202,334,619,2020,8916,93216,158191,502309
68,1496813862,GET_LINKS_LIST,21796,0,21796,1800016,10000,9766.5284,0,343,533,1381,5838,82710,155794,1472626
54,1496813862,MULTIGET_LINK,240,0,240,1800032,240,11176.266666666666,209,326,478,1385,8715,91010,143021,485580
68,1496813862,COUNT_LINK,2142,0,2142,1800016,2142,16650.793183940244,104,238,472,2084,77694,120506,249832,656233
68,1496813862,UPDATE_LINK,3448,0,3448,1800016,3448,50215.942575406036,1069,6021,11440,27261,129244,189451,554178,1717476
68,1496813862,ADD_LINK,3832,0,3832,1800016,3832,51656.397181628396,1195,6012,11377,31977,136100,195729,612695,1698516
68,1496813862,RANGE_SIZE,21796,0,21796,1800016,10000,36.0087,0,1,1,6,20,33,95,10000
68,1496813862,ADD_NODE,1115,0,1115,1800016,1115,102795.12376681615,1026,6661,17219,118578,261345,468431,1128671,1640263
54,1496813862,GET_LINKS_LIST,21638,0,21638,1800032,10000,9159.2285,0,342,529,1346,5407,76425,155027,1370914
74,1496813862,MULTIGET_LINK,230,0,230,1800018,230,13136.573913043478,197,340,568,1717,6568,90940,156148,1026058
54,1496813862,COUNT_LINK,2117,0,2117,1800032,2117,17244.29759093056,115,240,482,2170,80149,116842,233116,948528
68,1496813862,UPDATE_NODE,3063,0,3063,1800016,3063,115447.01893568397,180,9235,21796,132012,295567,521269,1074285,1839961
88,1496813862,MULTIGET_LINK,212,0,212,1800027,212,11375.806603773584,209,358,564,2278,10279,106982,154284,233718
68,1496813862,DELETE_NODE,449,0,449,1800016,449,95824.44766146994,227,8075,17698,130516,260037,321966,904177,1167159
54,1496813862,UPDATE_LINK,3371,0,3371,1800032,3371,51198.05132008306,1051,5958,11253,26581,134929,216103,657545,1524298
14,1496813862,MULTIGET_LINK,219,0,219,1800041,219,24915.39269406393,207,319,616,2300,16677,116202,644738,1178748
58,1496813862,MULTIGET_LINK,228,0,228,1800039,228,13977.548245614034,207,335,568,1872,6890,84013,222578,874857
68,1496813862,GET_NODE,5488,0,5488,1800016,5488,105684.03462099125,126,810,11205,119329,281158,506503,1169269,1616001
38,1496813862,GET_LINKS_LIST,21494,0,21494,1800147,10000,9456.075,0,339,521,1322,5132,73912,153354,1703923
54,1496813862,ADD_LINK,3802,0,3802,1800032,3802,49858.75618095739,1090,6064,11188,27269,136179,208933,558921,1656444
88,1496813862,GET_LINKS_LIST,21356,0,21356,1800027,10000,10460.281,0,342,538,1390,5727,85432,160892,1562495
74,1496813862,GET_LINKS_LIST,21422,0,21422,1800018,10000,10130.0615,0,348,544,1368,5698,84221,157756,1471353
38,1496813862,COUNT_LINK,2099,0,2099,1800147,2099,17452.956646021914,105,241,502,2384,76930,117437,247986,904462
88,1496813862,COUNT_LINK,2079,0,2079,1800027,2079,16203.63924963925,122,254,490,2341,28907,110338,238900,944237
54,1496813862,RANGE_SIZE,21638,0,21638,1800032,10000,21.5115,0,1,1,6,20,31,80,10000
54,1496813862,ADD_NODE,1118,0,1118,1800032,1118,95290.96779964223,1139,6901,17399,112687,241477,419249,1067293,1701196
38,1496813862,UPDATE_LINK,3411,0,3411,1800147,3411,50999.3221929053,1001,6116,11302,32105,141191,217932,522561,1341692
