Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,20000000,460,424,1348,1788,2738,1,12943,0.000%,2136.80715,22.95,0.00
TOTAL,20000000,460,424,1348,1788,2738,1,12943,0.000%,2136.80715,22.95,0.00
