Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,20000000,376,4,1173,1872,3293,2,16401,0.000%,2605.10559,27.98,0.00
TOTAL,20000000,376,4,1173,1872,3293,2,16401,0.000%,2605.10559,27.98,0.00
