Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,15000,1,1,2,2,5,0,643,0.000%,49.85443,6.33,0.00
TOTAL,15000,1,1,2,2,5,0,643,0.000%,49.85443,6.33,0.00
