op,count,p25_low,p25_high,p50_low,p50_high,p75_low,p75_high,p95_low,p95_high,p99_low,p99_high,max,mean
LOAD_NODE_BULK,98,98,99,100,200,100,200,200,300,400,500,474.22,141.12
LOAD_LINKS_BULK,1342,8,9,11,12,100,200,900,1000,1000,2000,1967.98,152.55
LOAD_COUNTS_BULK,80,100,200,300,400,300,400,500,600,1000,2000,1034.07,302.68
