Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,3000,1,1,2,4,8,0,495,0.000%,9.97891,0.73,0.00
TOTAL,3000,1,1,2,4,8,0,495,0.000%,9.97891,0.73,0.00
