2017-06-08 09:37:04 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2017-06-08 09:37:04  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2017-06-08 09:37:04  2  0      0 7269444 242004 8054556    0    0     1   914    7   15  5  2 90  3  0
2017-06-08 09:37:05  0  0      0 7269348 242004 8054556    0    0     0     0  639 1123  1  0 99  0  0
2017-06-08 09:37:06  1  0      0 7269008 242004 8054552    0    0     0     0 1241 3287  4  0 96  0  0
2017-06-08 09:37:07  0  0      0 7269040 242004 8054552    0    0     0     0 4808 10176  4  0 96  0  0
2017-06-08 09:37:08  0  0      0 7268824 242004 8054552    0    0     0     0 3984 8091  4  0 96  0  0
2017-06-08 09:37:09  0  0      0 7268900 242004 8054552    0    0     0     0 1398 2686  1  0 99  0  0
2017-06-08 09:37:10  1  0      0 7268732 242004 8054580    0    0     0   124 8197 18125  5  1 94  0  0
2017-06-08 09:37:11  0  0      0 7268792 242004 8054584    0    0     0     0 5422 11871  3  1 96  0  0
2017-06-08 09:37:12  0  0      0 7268556 242004 8054584    0    0     0     0 1671 3370  1  0 99  0  0
2017-06-08 09:37:13  1  0      0 7268684 242004 8054584    0    0     0     0 2588 5774  2  0 98  0  0
2017-06-08 09:37:14  0  0      0 7268708 242004 8054592    0    0     0     0  450  658  0  0 100  0  0
2017-06-08 09:37:15  0  0      0 7268740 242004 8054592    0    0     0    28  418  757  0  0 100  0  0
2017-06-08 09:37:16  0  0      0 7268708 242004 8054592    0    0     0     0  360  644  0  0 100  0  0
2017-06-08 09:37:17  0  0      0 7268708 242004 8054592    0    0     0     0  204  369  0  0 100  0  0
2017-06-08 09:37:18  0  0      0 7268708 242004 8054592    0    0     0     0  622 1435  1  0 99  0  0
2017-06-08 09:37:19  0  0      0 7268708 242004 8054592    0    0     0     0  608 1403  0  0 99  0  0
2017-06-08 09:37:20  0  0      0 7268740 242004 8054592    0    0     0     0  697 1435  1  0 99  0  0
2017-06-08 09:37:21  0  0      0 7268812 242004 8054592    0    0     0     0  544 1128  0  0 99  0  0
2017-06-08 09:37:22  0  0      0 7268740 242004 8054592    0    0     0     0  469  893  0  0 100  0  0
2017-06-08 09:37:23  0  0      0 7268740 242004 8054592    0    0     0     4  297  493  0  0 100  0  0
2017-06-08 09:37:24  0  0      0 7268708 242004 8054592    0    0     0     0  348  658  0  0 100  0  0
2017-06-08 09:37:25 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2017-06-08 09:37:25  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2017-06-08 09:37:25  1  0      0 7268708 242004 8054592    0    0     0     0  324  611  1  0 99  0  0
2017-06-08 09:37:26  0  0      0 7268708 242004 8054592    0    0     0     0 1093 2108  1  0 99  0  0
2017-06-08 09:37:27  0  0      0 7268708 242004 8054592    0    0     0     0  607 1080  1  0 99  0  0
2017-06-08 09:37:28  0  0      0 7268832 242004 8054592    0    0     0    24 1075 2267  1  0 99  0  0
2017-06-08 09:37:29  0  0      0 7268800 242004 8054592    0    0     0     0  582  917  0  0 100  0  0
2017-06-08 09:37:30  0  0      0 7268760 242004 8054592    0    0     0     0  941 2216  1  0 99  0  0
2017-06-08 09:37:31  0  0      0 7268832 242004 8054592    0    0     0     0 1123 2750  2  0 98  0  0
2017-06-08 09:37:32  0  0      0 7268832 242004 8054592    0    0     0     0  859 2035  1  0 99  0  0
2017-06-08 09:37:33  0  0      0 7268800 242004 8054592    0    0     0     4  414  840  0  0 100  0  0
2017-06-08 09:37:34  0  0      0 7268864 242004 8054592    0    0     0     0  214  383  0  0 100  0  0
2017-06-08 09:37:35  0  0      0 7268676 242004 8054624    0    0     0     0  579 1156  1  0 99  0  0
2017-06-08 09:37:36  0  0      0 7268732 242004 8054568    0    0     0     0 1278 2263  1  0 99  0  0
2017-06-08 09:37:37  0  0      0 7268764 242004 8054568    0    0     0     0 2109 4491  2  0 98  0  0
2017-06-08 09:37:38  0  0      0 7268640 242004 8054568    0    0     0     0 1743 3683  1  0 99  0  0
2017-06-08 09:37:39  0  0      0 7268656 242004 8054568    0    0     0    32 1230 2386  1  0 98  0  0
2017-06-08 09:37:40  0  0      0 7268656 242004 8054572    0    0     0     0 1451 2831  1  0 98  0  0
2017-06-08 09:37:41  0  0      0 7268656 242004 8054572    0    0     0     0 1404 2809  1  0 99  0  0
2017-06-08 09:37:42  0  0      0 7268592 242004 8054572    0    0     0     0 1398 2624  1  0 99  0  0
