threadID,timestamp,op,totalops,totalerrors,ops,sampleDuration_us,sampleOps,mean_us,min_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,max_us
3,1496894963,LOAD_LINKS_BULK,440,0,440,86180,440,179070.07954545456,14564,48703,80358,163538,371383,822655,1468865,2498455
3,1496894963,LOAD_COUNTS_BULK,86,0,86,86180,86,72694.3023255814,10869,22742,41258,75635,140897,168302,766465,766465
3,1496894963,LOAD_LINKS_BULK_NLINKS,440,0,440,86180,440,1023.3318181818181,730,1024,1024,1024,1024,1024,1024,1024
3,1496894963,LOAD_COUNTS_BULK_NLINKS,86,0,86,86180,86,1012.8372093023256,64,1024,1024,1024,1024,1024,1024,1024
7,1496894964,LOAD_LINKS_BULK,430,0,430,86712,430,188065.45581395348,15428,49954,86430,173262,445310,893308,1521279,1728678
7,1496894964,LOAD_COUNTS_BULK,73,0,73,86712,73,66072.97260273973,11520,25166,41804,74740,108353,133673,597249,597249
7,1496894964,LOAD_LINKS_BULK_NLINKS,430,0,430,86712,430,1023.8279069767442,950,1024,1024,1024,1024,1024,1024,1024
7,1496894964,LOAD_COUNTS_BULK_NLINKS,73,0,73,86712,73,1016.3835616438356,468,1024,1024,1024,1024,1024,1024,1024
4,1496894966,LOAD_LINKS_BULK,442,0,442,87663,442,184985.19457013573,16355,53671,94410,172622,367179,836633,1385745,2455209
4,1496894966,LOAD_COUNTS_BULK,80,0,80,87663,80,61629.0625,10704,24288,48951,71688,109950,137666,494268,494268
4,1496894966,LOAD_LINKS_BULK_NLINKS,442,0,442,87663,442,1023.0294117647059,595,1024,1024,1024,1024,1024,1024,1024
4,1496894966,LOAD_COUNTS_BULK_NLINKS,80,0,80,87663,80,1011.4125,17,1024,1024,1024,1024,1024,1024,1024
1,1496894966,LOAD_LINKS_BULK,425,0,425,87675,425,191253.30823529413,17891,55626,95970,184092,383032,865720,1436386,1927315
1,1496894966,LOAD_COUNTS_BULK,84,0,84,87675,84,63583.82142857143,2,33094,50583,76595,105131,142474,389228,389228
1,1496894966,LOAD_LINKS_BULK_NLINKS,425,0,425,87675,425,1022.0023529411765,175,1024,1024,1024,1024,1024,1024,1024
1,1496894966,LOAD_COUNTS_BULK_NLINKS,84,0,84,87675,84,1011.8095238095239,0,1024,1024,1024,1024,1024,1024,1024
2,1496894966,LOAD_LINKS_BULK,419,0,419,88124,419,192548.46062052506,17005,53820,86388,204531,453177,804785,1316166,1941600
2,1496894966,LOAD_COUNTS_BULK,79,0,79,88124,79,80077.62025316455,9979,24996,49837,72951,114640,119517,1449748,1449748
2,1496894966,LOAD_LINKS_BULK_NLINKS,419,0,419,88124,419,1021.5584725536993,1,1024,1024,1024,1024,1024,1024,1024
2,1496894966,LOAD_COUNTS_BULK_NLINKS,79,0,79,88124,79,1023.6962025316456,1000,1024,1024,1024,1024,1024,1024,1024
6,1496894966,LOAD_LINKS_BULK,445,0,445,88335,445,185689.62696629213,19292,52586,88583,184294,436299,817811,1318139,1915071
6,1496894966,LOAD_COUNTS_BULK,79,0,79,88335,79,59180.784810126584,9842,22468,42701,75202,108609,123553,725623,725623
6,1496894966,LOAD_LINKS_BULK_NLINKS,445,0,445,88335,445,1022.4696629213483,343,1024,1024,1024,1024,1024,1024,1024
6,1496894966,LOAD_COUNTS_BULK_NLINKS,79,0,79,88335,79,1020.7088607594937,764,1024,1024,1024,1024,1024,1024,1024
5,1496894966,LOAD_LINKS_BULK,452,0,452,89233,452,186560.8628318584,16754,48770,83242,171721,465430,856262,1362372,2144267
5,1496894966,LOAD_COUNTS_BULK,76,0,76,89233,76,50620.94736842105,9011,22428,38137,64704,89074,107330,323791,323791
5,1496894966,LOAD_LINKS_BULK_NLINKS,452,0,452,89233,452,1023.9513274336283,1002,1024,1024,1024,1024,1024,1024,1024
5,1496894966,LOAD_COUNTS_BULK_NLINKS,76,0,76,89233,76,1020.75,777,1024,1024,1024,1024,1024,1024,1024
9,1496894967,LOAD_LINKS_BULK,449,0,449,89463,449,183767.52338530068,15294,51579,80923,173110,473059,803019,1337942,2911338
9,1496894967,LOAD_COUNTS_BULK,69,0,69,89463,69,84220.60869565218,10455,31458,47341,73967,99657,135407,1456738,1456738
9,1496894967,LOAD_LINKS_BULK_NLINKS,449,0,449,89463,449,1021.9799554565701,117,1024,1024,1024,1024,1024,1024,1024
9,1496894967,LOAD_COUNTS_BULK_NLINKS,69,0,69,89463,69,1013.4347826086956,295,1024,1024,1024,1024,1024,1024,1024
8,1496894967,LOAD_LINKS_BULK,430,0,430,89546,430,190267.53953488372,15333,51106,86759,178120,415081,935677,1473004,2480060
8,1496894967,LOAD_COUNTS_BULK,85,0,85,89546,85,77274.6,14309,29942,46207,81439,140712,206951,771024,771024
8,1496894967,LOAD_LINKS_BULK_NLINKS,430,0,430,89546,430,1023.0953488372093,635,1024,1024,1024,1024,1024,1024,1024
8,1496894967,LOAD_COUNTS_BULK_NLINKS,85,0,85,89546,85,1018.8941176470588,590,1024,1024,1024,1024,1024,1024,1024
10,1496894972,LOAD_NODE_BULK,977,0,977,94071,977,93485.59467758443,17928,43346,66388,96902,139244,188690,838486,1325183
0,1496894989,LOAD_LINKS_BULK,1199,0,1199,112212,1199,89973.60967472894,12508,16745,35979,100783,220706,309485,828957,1361603
0,1496894989,LOAD_COUNTS_BULK,49,0,49,112212,49,58837.26530612245,2993,23025,36200,63608,115176,203540,478708,478708
0,1496894989,LOAD_LINKS_BULK_NLINKS,1199,0,1199,112212,1199,1023.9115929941618,918,1024,1024,1024,1024,1024,1024,1024
0,1496894989,LOAD_COUNTS_BULK_NLINKS,49,0,49,112212,49,1004.8163265306123,84,1024,1024,1024,1024,1024,1024,1024
