Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,20000000,379,4,1178,1874,3254,2,14395,0.000%,2585.16503,27.77,0.00
TOTAL,20000000,379,4,1178,1874,3254,2,14395,0.000%,2585.16503,27.77,0.00
