threadID,timestamp,op,totalops,totalerrors,ops,sampleDuration_us,sampleOps,mean_us,min_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,max_us
88,1496897195,MULTIGET_LINK,139,0,139,1800049,139,33452.76258992806,213,438,1811,13437,115022,130194,382519,538418
2,1496897195,MULTIGET_LINK,140,0,140,1800054,140,30170.664285714287,233,453,1813,7320,118397,126396,312430,523314
4,1496897195,MULTIGET_LINK,149,0,149,1800055,149,25019.422818791947,225,438,1325,6576,107905,131619,273577,390797
88,1496897195,GET_LINKS_LIST,13810,0,13810,1800049,10000,29175.377,0,440,1283,6534,113074,135637,351880,1701554
2,1496897195,GET_LINKS_LIST,13821,0,13821,1800054,10000,26528.3841,0,439,1174,5854,110556,125973,352971,1043207
88,1496897195,COUNT_LINK,1390,0,1390,1800049,1390,36796.540287769785,122,364,1795,11700,120598,218058,387818,723358
2,1496897195,COUNT_LINK,1320,0,1320,1800054,1320,39055.759090909094,102,372,1848,10635,117702,220930,500985,848574
88,1496897195,UPDATE_LINK,2127,0,2127,1800049,2127,73725.01833568406,1157,6573,14567,115477,228520,283095,652788,1150236
2,1496897195,UPDATE_LINK,2144,0,2144,1800054,2144,78218.40671641791,1239,6802,15309,117612,233150,330864,618649,1092789
4,1496897195,GET_LINKS_LIST,14057,0,14057,1800055,10000,27620.2848,0,437,1231,5908,111647,133069,354426,1178149
88,1496897195,ADD_LINK,2486,0,2486,1800049,2486,83641.86645213194,1115,6784,15702,118062,234706,364658,739715,1156308
4,1496897195,COUNT_LINK,1371,0,1371,1800055,1371,35294.78555798687,116,381,2088,12323,117487,201892,341301,1158744
2,1496897195,ADD_LINK,2351,0,2351,1800054,2351,81225.35219055721,1131,6876,15703,117668,237676,354382,630201,1139834
88,1496897195,RANGE_SIZE,13810,0,13810,1800049,10000,27.4576,0,0,1,2,10,19,43,10000
2,1496897195,RANGE_SIZE,13821,0,13821,1800054,10000,24.517,0,0,1,2,11,19,39,10000
4,1496897195,UPDATE_LINK,2272,0,2272,1800055,2272,80228.99339788733,1123,6575,14661,114893,234936,350416,718089,1328386
